ID;Mode;Iteration;Time;Size;Error;Clauses;Literals
0;pclist_fm;0;57051833;0;false;0;0
25;pclist;0;873006816;3296;false;5046;7281
27;pclist;0;92177801;700;false;1161;1871
29;pclist;0;187247922;1506;false;2491;3785
30;pclist;0;62681131;393;false;663;962
32;pclist;0;162075130;606;false;708;810
34;pclist;0;441456752;2452;false;4423;6757
35;pclist;0;71741663;810;false;1302;1859
36;pclist;0;69337215;568;false;875;1219
37;pclist;0;167256053;1757;false;3937;7421
38;pclist;0;92584407;780;false;1482;4075
44;pclist;0;38567242;318;false;369;428
45;pclist;0;50462950;454;false;539;631
46;pclist;0;367633790;3947;false;8714;16613
47;pclist;0;41575713;380;false;802;1969
51;pclist;0;20210533;223;false;278;332
52;pclist;0;23741877;253;false;313;373
55;pclist;0;96201773;1128;false;1589;2077
56;pclist;0;327368309;3680;false;6577;10262
57;pclist;0;22804365;324;false;496;714
59;pclist;0;140919650;1551;false;2720;4145
63;pclist;0;172574266;1821;false;2915;4360
