ID;Mode;Iteration;Time;Size;Error
0;extract;0;61410476;0;false
25;extract;0;3465867073;0;false
27;extract;0;327538575;0;false
29;extract;0;839170526;0;false
30;extract;0;246877351;0;false
32;extract;0;1556970466;0;false
34;extract;0;2050403292;0;false
35;extract;0;333436620;0;false
36;extract;0;385811676;0;false
37;extract;0;359632750;0;false
38;extract;0;898424649;0;false
44;extract;0;588639964;0;false
45;extract;0;758094160;0;false
46;extract;0;1162958487;0;false
47;extract;0;730719247;0;false
51;extract;0;272895848;0;false
52;extract;0;404972252;0;false
55;extract;0;761121411;0;false
56;extract;0;1010249678;0;false
57;extract;0;145879604;0;false
59;extract;0;879500088;0;false
63;extract;0;1706000515;0;false
